Sentence,English_Translation
uske liye toh bahot kuch karna padega ye pappiyon se kaam nhi chalega,"we should a lot more for that, by this evil people nothing will happen"
yehi to hum semjhane ki koshish kar rahe hain. Log to sab kuch ko issi mein tol dete hai.,"this is what i'm expecting you to understand, people invest everything in this isnt it."
cake kaha h ?,where is the cake?
i'm in hawaii at the moment .  home next friday night .  don't want to come home .,Don't want to come home next friday because I am in the Hawai at the moment
Jeet ka jashn aur subah ki shuruat eating bread pakora at Tandon's Cottage Vaishali Damoh,the celebration of a victory and the start of the day. eating bread pakoda at tandon's cottage vaishali damoh
1 sookha puri aur dena bhaiya,brother could you please give me one more dry puri
"Matlab tum Karishma nahi Raveena ho? Aur woh jo Karishma thi, woh ab kaha ravana hai?",so that means you are karishma but not raveena? and where did the one with name of karishma go?
"Sachai ki jeet hogay
*aankho mein aansoo*","truth won, and it lead to my happy tears."
sahi me yaar,right man
kon hai yeh zaleel insaan?,who is this sad guy?
"Haa, uske khidki khuli thi jismein se baburao jhaank raha tha.","Yes, his window was open from which Baburao was peeping."
"yaar confess karte ho ya torture,  itna bada bada confession",Dude why are you trying to torture us by those big big confessions of yours.
"Tujhe sign up kar ke 1000 rs mere account me daalne padenge, tab h recharge ho payega. ","you should first sign up and send 1000rs to my account, then and only the recharge is done."
"Miss u msd "" aadat ho gayi hai aapko captain dekhte hue Dhoni","Miss you MSD ""Got used to seeing you captain .. Dhoni"""
"note yeh application google playstore se download hogi, toh fake toh ho hi nhi sakti","Note this application will be downloaded from Google Playstore, it cannot be fake."
bas kabhi ghamand nhi kia.,i did not ever show cased my ego.
Yeh bhasha kaha se sikha h ?,Where did you learn this language?
sure vai,sure brother
"yeh kaun se channel par aur kab aata hai? Batao, zara hum b tho dekhe!","on which channel and when does it appear? Tell me, let's see too!"
agar ayesi he baat h tho peechley 15 saalo se bjp waaley congress k khilaf apna 'prattyashi' kyu khara karte the delhi vidhansabha election mein  ?,if it is the case why did the BJP candidates oppose the congress people for past 15 years in delhi  legislative assembly elections.
ka hogaya aisa?,What happened?
unhone pehle pic ni dkhi ti kya tmhari jo milne k baad hi ignore kia tmhe?,didnt he saw your pic before meeting then why did he ignore you.
"mai to itne games me b bas ninja turtles ,  street fighter ,  car race and mario khel kar khush tha baki games par dhyan dene ka tym kiske pas tha","I was happy to play  Ninja Turtles, Street Fighter, Car Race and Mario among all other games, and not at all interested in remaining games"
iss rishtewaad se azaadi,freedom from relations
Bahut log h jo aapse baat karna chahte h..plz dn't brk thr hearts sir plz,There are a lot of people who want to talk to you..Please Dont break their hearts sir please
"ab vo bola jisne kisi b party ko support karne se mana kardiya tha , a flop show annaji","Now say that he had a desire to support any party, A flop show brother"
kone wale plot me jagah zyada hoti h,corner plot has more space
"sala olympics k game bhare rehte the isme, dhokebaaz","brother Olympics games were full in this, Cheater"
cha cha ? ab seedha Trump nazar aane laga ? Kasab se Trump tak ?,Now Trump appears straight away? From Kasab to Trump?
